Com.Code;Item.Code;Item;Unit;Group;Moisture;Feedtype;Com.Group;120;Cattle
c001;2805;Rice (Milled Equivalent);tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;FALSE
c002;2511;Wheat and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;FALSE
c003;2513;Barley and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;FALSE
c004;2514;Maize and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;FALSE
c005;2515;Rye and products;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;FALSE
c006;2516;Oats;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;FALSE
c007;2517;Millet and products;tonnes;Primary crops;0.12;Feed crops;Cereals;TRUE;FALSE
c008;2518;Sorghum and products;tonnes;Primary crops;0.11;Feed crops;Cereals;TRUE;FALSE
c009;2520;Cereals, Other;tonnes;Primary crops;0.14;Feed crops;Cereals;TRUE;FALSE
c010;2531;Potatoes and products;tonnes;Primary crops;0.78;Feed crops;Roots and tubers;TRUE;FALSE
c011;2532;Cassava and products;tonnes;Primary crops;0.7;Feed crops;Roots and tubers;TRUE;FALSE
c012;2533;Sweet potatoes;tonnes;Primary crops;0.7;Feed crops;Roots and tubers;TRUE;FALSE
c013;2534;Roots, Other;tonnes;Primary crops;0.75;Feed crops;Roots and tubers;TRUE;FALSE
c014;2535;Yams;tonnes;Primary crops;0.74;Feed crops;Roots and tubers;TRUE;FALSE
c015;2536;Sugar cane;tonnes;Primary crops;0.825;Feed crops;Sugar crops;TRUE;FALSE
c016;2537;Sugar beet;tonnes;Primary crops;0.77;Feed crops;Sugar crops;TRUE;FALSE
c017;2546;Beans;tonnes;Primary crops;0.8;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c018;2547;Peas;tonnes;Primary crops;0.83;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c019;2549;Pulses, Other and products;tonnes;Primary crops;0.1;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c020;2551;Nuts and products;tonnes;Primary crops;0;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c021;2555;Soyabeans;tonnes;Primary crops;0.1;Feed crops;Oil crops;TRUE;FALSE
c022;2556;Groundnuts (Shelled Eq);tonnes;Primary crops;0.06;Feed crops;Oil crops;TRUE;FALSE
c023;2557;Sunflower seed;tonnes;Primary crops;0.07;Feed crops;Oil crops;TRUE;FALSE
c024;2558;Rape and Mustardseed;tonnes;Primary crops;0.12;Feed crops;Oil crops;TRUE;FALSE
c025;328;Seed cotton;tonnes;Primary crops;0;Feed crops;Oil crops;TRUE;FALSE
c026;2560;Coconuts - Incl Copra;tonnes;Primary crops;0.4;Feed crops;Oil crops;TRUE;FALSE
c027;2561;Sesame seed;tonnes;Primary crops;0.06;Feed crops;Oil crops;TRUE;FALSE
c028;254;Oil, palm fruit;tonnes;Primary crops;0;Feed crops;Oil crops;TRUE;FALSE
c029;2563;Olives (including preserved);tonnes;Primary crops;0;Feed crops;Oil crops;TRUE;FALSE
c030;2570;Oilcrops, Other;tonnes;Primary crops;0.1;Feed crops;Oil crops;TRUE;FALSE
c031;2601;Tomatoes and products;tonnes;Primary crops;0.94;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c032;2602;Onions;tonnes;Primary crops;0.89;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
c033;2605;Vegetables, Other;tonnes;Primary crops;0.95;Feed crops;Vegetables, fruit, nuts, pulses, spices;TRUE;FALSE
